,team,date,FOR_Set_Piece_Threat_RA20,FOR_Set_Piece_Threat_RA20_pct,FOR_Final_SP_Threat,FOR_Final_SP,FOR_Total_Shot_Threat_RA20,FOR_Shot_Threat_Cluster_0_RA20,FOR_Shot_Threat_Cluster_1_RA20,FOR_Shot_Threat_Cluster_2_RA20,FOR_Shot_Threat_Cluster_3_RA20,FOR_Shot_Threat_Cluster_4_RA20,FOR_Shot_Threat_Cluster_0_RA20_pct,FOR_Shot_Threat_Cluster_1_RA20_pct,FOR_Shot_Threat_Cluster_2_RA20_pct,FOR_Shot_Threat_Cluster_3_RA20_pct,FOR_Shot_Threat_Cluster_4_RA20_pct,AGAINST_Set_Piece_Threat_RA20,AGAINST_Set_Piece_Threat_RA20_pct,AGAINST_Final_SP_Threat,AGAINST_Final_SP,AGAINST_Total_Shot_Threat_RA20,AGAINST_Shot_Threat_Cluster_0_RA20,AGAINST_Shot_Threat_Cluster_1_RA20,AGAINST_Shot_Threat_Cluster_2_RA20,AGAINST_Shot_Threat_Cluster_3_RA20,AGAINST_Shot_Threat_Cluster_4_RA20,AGAINST_Shot_Threat_Cluster_0_RA20_pct,AGAINST_Shot_Threat_Cluster_1_RA20_pct,AGAINST_Shot_Threat_Cluster_2_RA20_pct,AGAINST_Shot_Threat_Cluster_3_RA20_pct,AGAINST_Shot_Threat_Cluster_4_RA20_pct
455,Aston Villa,2023-12-30 15:00:00,0.19466667645610858,0.1632395926802122,0.1789531345681604,0.7158125382726416,1.1925212092231956,0.29841768122278134,0.05452870596200219,0.4828276321291923,0.0,0.3567471899092197,0.25024098432359926,0.045725564912612336,0.4048797022601423,0.0,0.29915374850364607,0.1269963749684393,0.22550529140872108,0.1762508331885802,0.7050033327543208,0.5631636143662033,0.19174122568219892,0.047034131176769675,0.19075683141127225,0.0,0.1336314260959625,0.3404716156919845,0.08351770245260415,0.3387236436181236,0.0,0.23728703823728783
456,Aston Villa,2024-01-14 14:00:00,0.19561024392023674,0.1661797889213747,0.18089501642080572,0.7235800656832229,1.1771000865381205,0.3061788711696861,0.05832521016709498,0.4558488152921199,0.0,0.3567471899092197,0.26011286098038233,0.049549915792318745,0.38726427812335157,0.0,0.30307294510394756,0.12681315364316104,0.22407893246660524,0.17544604305488315,0.7017841722195326,0.5659307291731237,0.19072670657187693,0.05099898641929025,0.19057361008599397,0.0,0.1336314260959625,0.33701422584093643,0.09011524518876084,0.336743704241753,0.0,0.2361268247285497
457,Aston Villa,2024-01-30 20:15:00,0.2086482976563274,0.1828041338952105,0.19572621577576893,0.7829048631030757,1.14137625452131,0.2967530678957699,0.06108353864401569,0.4258872050791978,0.0,0.35765244290232656,0.2599958311032389,0.05351744300097951,0.37313480405093385,0.0,0.3133519218448477,0.1845531359314918,0.30529495494434955,0.24492404543792068,0.9796961817516827,0.604507650528103,0.1821748188696801,0.04806376220658416,0.20379579337313766,0.0,0.17047327607870102,0.30136065062291706,0.0795089394891781,0.33712690516836297,0.0,0.28200350471954183
458,Aston Villa,2024-02-03 17:30:00,0.20900921477004877,0.1835714072278462,0.1962903109989475,0.78516124399579,1.1385717303492124,0.30802197102457274,0.07724336264654985,0.430215561017394,0.0,0.323090835660696,0.27053365441464017,0.06784233315090167,0.3778554741434184,0.0,0.2837685382910399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,Aston Villa,2024-02-11 16:30:00,0.20242004161700597,0.1722003044235834,0.18731017302029468,0.7492406920811787,1.175491775665432,0.32686070762574654,0.08059252509847273,0.4221099849790334,0.0,0.3459285579621792,0.27806294726367997,0.06856068818758877,0.3590922486378792,0.0,0.29428411591085196,0.18315956150181587,0.30436772316886984,0.24376364233534287,0.9750545693413715,0.6017706463579088,0.18141941870562725,0.048105863854289,0.2088290310464799,0.0,0.16341633275151252,0.3014760188181833,0.0799405290793755,0.34702428958669557,0.0,0.2715591625157454
460,Aston Villa,2024-02-17 15:00:00,0.20555205168202512,0.17439752530410757,0.18997478849306634,0.7598991539722654,1.1786408741958436,0.3555207243189214,0.0859468434937297,0.39777264017611735,0.0,0.3394006662070751,0.3016361744297083,0.07292029775598019,0.33748417256232305,0.0,0.2879593552519884,0.18870956269092853,0.2930453302840987,0.2408774464875136,0.9635097859500544,0.643960313266143,0.19420174858532838,0.05022864816710347,0.23611358376219865,0.0,0.16341633275151252,0.30157409483877085,0.07799960204433347,0.36665859509981175,0.0,0.253767708017084
461,Aston Villa,2024-02-24 15:00:00,0.19738596864044658,0.15271288704642108,0.17504942784343383,0.7001977113737353,1.2925298739224669,0.3663932382129131,0.0866223252378403,0.43282400574535124,0.0,0.40669030472636225,0.28346984128189784,0.06701765814894921,0.33486576556397213,0.0,0.31464673500518087,0.17603571317158634,0.2704896510261912,0.22326268209888878,0.8930507283955551,0.6508038755040614,0.19965124274604015,0.048212823830544885,0.23952347617596384,0.0,0.16341633275151252,0.3067763580716326,0.07408195563249072,0.36804248590321903,0.0,0.25109920039265765
462,Aston Villa,2024-03-02 17:30:00,0.2177620392292737,0.16829767650796554,0.19302985786861962,0.7721194314744785,1.293909956142306,0.37242278335615975,0.08288165954872954,0.454188304208219,0.0,0.3844172090291977,0.287827434658985,0.06405519886085033,0.351020024269963,0.0,0.2970973422102016,0.17603571317158634,0.2754068516587565,0.22572128241517142,0.9028851296606857,0.6391842182260005,0.18440131987445046,0.05184308942407363,0.23952347617596384,0.0,0.16341633275151252,0.2884947947967803,0.08110821253997723,0.37473308843691444,0.0,0.255663904226328
463,Aston Villa,2024-03-10 13:00:00,0.18975322083570054,0.15002550576645557,0.16988936330107807,0.6795574532043123,1.2648064065258946,0.38350814506411535,0.080433211615309,0.4132956122979521,0.0,0.3875694375485182,0.3032148976201946,0.06359329870587771,0.3267659067549881,0.0,0.3064258969189396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,Aston Villa,2024-03-17 14:00:00,0.18717739679850628,0.15463808910230023,0.17090774295040326,0.683630971801613,1.2104223344009366,0.35873573338612896,0.08296092548407602,0.38115623798221343,0.0,0.3875694375485182,0.29637236788403676,0.06853882576872239,0.3148952453614925,0.0,0.32019356098574836,0.18246004558168344,0.2815010284397069,0.23198053701069518,0.9279221480427807,0.6481683089863507,0.18452605600468808,0.05323471520096057,0.2420962458476424,0.0,0.1683112919330597,0.2846884882311855,0.08213100588674661,0.37350830407961294,0.0,0.25967220180245504
