player_id,understat_player,player_code,match_score,matched_name,matched_from,team_norm
12027,Mohammed Kudus,460842,1.03,Mohammed Kudus,full_name,spurs
11974,Benjamin Sesko,485711,1.03,Benjamin Sesko,full_name,man utd
11966,Noah Okafor,435997,1.03,Noah Okafor,full_name,leeds
11965,Tijjani Reijnders,433036,1.03,Tijjani Reijnders,full_name,man city
11944,Patrick Dorgu,596777,1.03,Patrick Dorgu,full_name,man utd
11903,Oscar Bobb,477555,1.03,Oscar Bobb,full_name,fulham
8651,Enzo Le Fée,484420,1.03,Enzo Le Fée,full_name,sunderland
8942,Aaron Hickey,472713,1.03,Aaron Hickey,full_name,brentford
8635,Sven Botman,220237,1.03,Sven Botman,full_name,newcastle
6026,Richarlison,212319,1.03,Richarlison de Andrade,web_name,spurs
6145,Daichi Kamada,209400,1.03,Daichi Kamada,full_name,crystal palace
6108,Rodrigo Bentancur,202993,1.03,Rodrigo Bentancur,full_name,spurs
6104,Will Hughes,108413,1.03,Will Hughes,full_name,crystal palace
6080,Victor Lindelöf,184667,1.03,Victor Lindelöf,full_name,aston villa
6063,Jacob Murphy,114243,1.03,Jacob Murphy,full_name,newcastle
6055,Phil Foden,209244,1.03,Phil Foden,full_name,man city
6048,Lewis Dunk,83299,1.03,Lewis Dunk,full_name,brighton
5973,Kenny Tete,167074,1.03,Kenny Tete,full_name,fulham
6820,David Brooks,111317,1.03,David Brooks,full_name,bournemouth
5789,Boubacar Kamara,226944,1.03,Boubacar Kamara,full_name,aston villa
5786,Yoane Wissa,216646,1.03,Yoane Wissa,full_name,newcastle
5735,Jean-Philippe Mateta,231747,1.03,Jean-Philippe Mateta,full_name,crystal palace
5722,Ibrahim Sangare,210462,1.03,Ibrahim Sangaré,full_name,nott m forest
5675,Ismaila Sarr,232185,1.03,Ismaïla Sarr,full_name,crystal palace
5659,Nordi Mukiele,200834,1.03,Nordi Mukiele,full_name,sunderland
5613,Gabriel,226597,1.03,Gabriel dos Santos Magalhães,web_name,arsenal
6157,Timothy Castagne,166477,1.03,Timothy Castagne,full_name,fulham
6174,Nikola Milenkovic,227444,1.03,Nikola Milenković,full_name,nott m forest
6219,Enes Ünal,168636,1.03,Enes Ünal,full_name,bournemouth
6221,Pau Torres,244954,1.03,Pau Torres,full_name,aston villa
6807,Jaka Bijol,434752,1.03,Jaka Bijol,full_name,leeds
6756,Dwight McNeil,433154,1.03,Dwight McNeil,full_name,everton
6681,Harvey Barnes,201666,1.03,Harvey Barnes,full_name,newcastle
6674,Rayan Ait Nouri,448514,1.03,Rayan Aït-Nouri,full_name,man city
6665,Curtis Jones,206915,1.03,Curtis Jones,full_name,liverpool
6630,Joe Willock,200089,1.03,Joe Willock,full_name,newcastle
6615,Trevoh Chalobah,180736,1.03,Trevoh Chalobah,full_name,chelsea
6552,Bryan Mbeumo,446008,1.03,Bryan Mbeumo,full_name,man utd
6544,Lukas Nmecha,174594,1.03,Lukas Nmecha,full_name,leeds
6492,Reiss Nelson,200641,1.03,Reiss Nelson,full_name,arsenal
6482,Eddie Nketiah,205533,1.03,Eddie Nketiah,full_name,crystal palace
8497,Cole Palmer,244851,1.03,Cole Palmer,full_name,chelsea
6377,Joe Rodon,214225,1.03,Joe Rodon,full_name,leeds
6369,Ethan Ampadu,199598,1.03,Ethan Ampadu,full_name,leeds
6314,Joachim Andersen,174874,1.03,Joachim Andersen,full_name,fulham
5595,Daniel James,200617,1.03,Daniel James,full_name,leeds
5590,Tosin Adarabioyo,109646,1.03,Tosin Adarabioyo,full_name,chelsea
5555,Dominic Calvert-Lewin,177815,1.03,Dominic Calvert-Lewin,full_name,leeds
1024,Tyrone Mings,149484,1.03,Tyrone Mings,full_name,aston villa
910,Harrison Reed,153366,1.03,Harrison Reed,full_name,fulham
833,Virgil van Dijk,97032,1.03,Virgil van Dijk,full_name,liverpool
825,Adam Smith,54469,1.03,Adam Smith,full_name,bournemouth
741,Jordan Pickford,111234,1.03,Jordan Pickford,full_name,everton
725,Ola Aina,159506,1.03,Ola Aina,full_name,nott m forest
702,Tammy Abraham,173879,1.03,Tammy Abraham,full_name,aston villa
675,Jack Grealish,114283,1.03,Jack Grealish,full_name,man city
660,Ben Davies,115556,1.03,Ben Davies,full_name,spurs
605,Jordan Henderson,56979,1.03,Jordan Henderson,full_name,brentford
592,Ross Barkley,88894,1.03,Ross Barkley,full_name,aston villa
501,Danny Welbeck,50175,1.03,Danny Welbeck,full_name,brighton
500,Alex Iwobi,153133,1.03,Alex Iwobi,full_name,fulham
239,Pascal Groß,60307,1.03,Pascal Groß,full_name,brighton
204,Granit Xhaka,84450,1.03,Granit Xhaka,full_name,sunderland
181,Bernd Leno,80201,1.03,Bernd Leno,full_name,fulham
