pos_group,date,player_team,npg,key_passes,shots,goals,xG,xA,xA_sum,npxG,npxG_sum,assists,xGChain,xGBuildup,opponent,npxG_share,xA_share,team_XG_avg,team_Rolling_Threat,Team_code,opp_XGC_avg,opp_Rolling_Threat_Against,xA2,Adjusted_XG,Adjusted_XA,Rolling_Adjusted_XG,Rolling_Adjusted_XA,Rolling_XG_Share,Rolling_XA_Share,Rolling_Adjusted_XG2,Rolling_Adjusted_XA2,XGIndex,XAIndex
FW,2024-08-17,Wolves,0.0,0.0,1.0,0.0,0.2483385056257248,0.0,0.0,0.2483385056257248,0.2483385056257248,0.0,0.2483385056257248,0.0,Arsenal,0.43126683275981137,0.0,0.7783272514836264,1.0474902207884116,39,0.6278398479906461,0.730881604053014,0.0,0.36554733901079955,0.0,0.19298380877472932,0.026523322077494416,0.24751011210214421,0.11928271373673764,0.11736792479526065,0.018851916974896004,0.15517586678499498,0.02268761952619521
FW,2024-08-25,Wolves,1.0,1.0,2.0,1.0,0.5929577350616455,0.5631452798843384,0.5631452798843384,0.5929577350616455,0.5929577350616455,0.0,0.7025642991065979,0.0946553125977516,Chelsea,0.24521615186479395,0.28414223267356575,0.7595640117622717,1.0303039431898602,39,1.358629567090012,1.504785567759425,0.2815726399421692,0.41416120760486524,0.19666910083366218,0.21404832294902798,0.047791544422015386,0.24729163969858703,0.13498362030214986,0.13439486781641063,0.027335850406908058,0.1742215953827193,0.03756369741446172
FW,2024-08-31,Wolves,0.0,1.0,0.0,0.0,0.0,0.0240380223840475,0.0240380223840475,0.0,0.0,0.0,0.4493696093559265,0.4253315925598144,Nott'm Forest,0.0,0.047239086619015026,0.8216890117622717,1.0502659502911278,39,1.4941447780020476,1.2387212192181205,0.01201901119202375,0.0,0.008795902326897342,0.1936627683824539,0.042917089160125634,0.22374005496538826,0.1266269980466132,0.12521278870500144,0.025908015121199522,0.15943777854372765,0.03441255214066258
FW,2024-09-15,Wolves,0.0,1.0,2.0,0.0,0.3098068535327911,0.5797659158706665,0.5797659158706665,0.3098068535327911,0.3098068535327911,1.0,0.8895727396011353,0.0,Newcastle,0.21079682949423434,0.5042633927538994,0.7997539980693422,1.0014827065047367,39,1.250386352985177,1.5815670458039617,0.7898829579353333,0.21879375110145208,0.5578361270161185,0.19605619530807278,0.10728196889212474,0.22250736682527839,0.16259236897111665,0.12728755669644917,0.03526591604371706,0.16167187600226096,0.0712739424679209
FW,2024-09-21,Wolves,0.0,0.0,2.0,0.0,0.0868405178189277,0.0,0.0,0.0868405178189277,0.0868405178189277,0.0,0.117926575243473,0.0576550103724002,Aston Villa,0.16696329637545546,0.0,0.7795966992787167,1.0462973681916443,39,1.4763190273497926,1.3984136939607963,0.0,0.06041641170685055,0.0,0.18313812067938495,0.09387172278060915,0.2172174553538667,0.14710738145005792,0.12116043467551772,0.03273141397377042,0.15214927767745134,0.06330156837718978
FW,2024-09-28,Wolves,0.0,0.0,1.0,0.0,0.0553801171481609,0.0,0.0,0.0553801171481609,0.0553801171481609,0.0,0.0553801171481609,0.0,Liverpool,0.07394615951591087,0.0,0.7827617274798613,1.048010197167689,39,0.8890417673515879,1.1366962514718322,0.0,0.054676484948756134,0.0,0.17090367918122984,0.082137757433033,0.20357257003596615,0.1330971546452905,0.11775827645047134,0.031073782231357545,0.14433097781585058,0.05660576983219527
FW,2024-10-05,Wolves,1.0,0.0,1.0,1.0,0.111146368086338,0.0,0.0,0.111146368086338,0.111146368086338,0.0,0.2712900042533874,0.1601436287164688,Brentford,0.15963476610082913,0.0,0.7962420819172268,1.050758922521728,39,1.449149244023824,1.7939174249441132,0.0,0.06854399211084294,0.0,0.16115513755547872,0.07187053775390388,0.1993880172802388,0.12042123515526285,0.1116380275222226,0.02855442354552545,0.13639658253885067,0.05021248064971467
FW,2024-10-20,Wolves,0.5,0.5,1.0,0.5,0.17242284864187235,0.20818546414375305,0.4163709282875061,0.17242284864187235,0.3448456972837447,0.0,0.5887937694787979,0.4163709282875061,Man City,0.2265095675130303,0.3764443645569258,0.842617081917227,1.118164057206512,39,0.7252514813034907,0.9619616540676844,0.10409273207187653,0.20438775045920982,0.12339013950241308,0.16527252926059596,0.07831048797246754,0.2019710220643142,0.1448043903363736,0.11714848638412252,0.03351949555867204,0.14121050782235925,0.055914991765569785
FW,2024-10-26,Wolves,0.0,1.0,2.0,0.0,0.0964747443795204,0.0448208302259445,0.0448208302259445,0.0964747443795204,0.0964747443795204,0.0,0.1530857384204864,0.0609717704355716,Brighton,0.08485035245003816,0.09239069740102952,0.8639151058316525,1.0271435500556978,39,1.381819136454544,1.339008526726123,0.02241041511297225,0.07091573324180389,0.016473233800316713,0.1562861677349967,0.07058083120094868,0.1908166725772403,0.13981261005681703,0.11272575198487111,0.03206313797939047,0.1345059598599339,0.05132198459016958
FW,2024-11-02,Wolves,1.0,2.0,2.0,1.0,0.6719355583190918,0.1046522632241249,0.1046522632241249,0.6719355583190918,0.6719355583190918,0.0,1.1655125617980957,0.4409233629703522,Crystal Palace,0.4069456464822291,0.13512101761207002,0.9013130785630666,1.1550006062987357,39,1.1622276395587283,1.4155642131423527,0.05232613161206245,0.5213264659945444,0.040597639066345635,0.1910519104263822,0.0668329321841233,0.21140038437771544,0.13936579172874589,0.12407704733230443,0.03202671753632517,0.15756447887934333,0.049429824860224236
