,fixture_code,GW,pred,team_name,team_code,XG,XGC,CS,Opposition_XG,Opposition_XGC,Opponent_team,Home,Draw_percent,Loss_percent,Win_Percent,own_XG_avg,own_XGC_avg,own_H_Att_E,own_H_def_E,opponent_XG_avg,opponent_XGC_avg,opponent_H_Att_E,opponent_H_def_E
50,2645245,6,6,Arsenal,3,1.985964242967185,0.790034832322045,0.4098423400498113,1.1849909168881,1.566149051204209,Leeds,H,23.869125,16.505625,59.62525,1.6364172115891495,0.8399472693468595,-0.00028906919966165123,-0.044146800965827515,1.3057770463672596,1.464828154955399,0.05445325701024806,-0.10160188973436479
51,2645246,6,6,Aston Villa,7,1.6396436598788866,1.243048053059022,0.2668096378787172,1.2260841536364542,1.4468513166814645,Brentford,H,29.634375,30.43725,39.928375,1.3865122107727208,1.351018843326437,0.1208132216542307,-0.10937332654436338,1.4331572898289986,1.4377185555570589,0.16598795892097973,-0.03805161582445049
52,2645247,6,6,Chelsea,8,1.8216450173027416,1.3620057787355575,0.249297772900327,1.4745902057966431,1.5948490921309688,Bournemouth,H,27.974125,27.255125,44.77075,1.6023839768411388,1.2486298611633273,0.05092406398048466,-0.035186057692561556,1.485315776713592,1.404593255612816,-0.03540311341675795,-0.20813190400868797
53,2645248,6,6,Coventry City,9,1.2351583584498496,1.4681723673200786,0.1745286647884566,1.2792407238005412,1.311396662140386,Newcastle,H,27.05275,49.823375,23.118875,0.9906606735041694,1.7793203223929634,0.022320988384103402,-0.035862057606697806,1.5004934275104749,1.4526972750992466,0.20642801083095863,0.06390876108922439
54,2645249,6,6,Crystal Palace,31,1.4212451496883205,1.2865276465705744,0.2663317470375271,1.2017004987026172,1.4685966592601445,Nott'm Forest,H,29.195375,36.472625,34.332,1.245452850996151,1.4118279802428364,0.030286766607416915,-0.04385767727787615,1.2580469564270338,1.3598256349548674,-0.028085950353334055,-0.11305593881675868
55,2645250,6,6,Hull City,88,1.1578321050316822,1.3636027789545129,0.1953670636003285,1.085810201739927,1.4188874554877744,Everton,H,27.561375,48.647625000000005,23.791,0.8915946061537525,2.046218370751908,0.02008888954569299,-0.04124136624770258,1.1965936157693842,1.4048050581311702,0.039133181495023095,-0.06539954554238459
56,2645251,6,6,Ipswich Town,40,0.9840436648449602,1.767569778217037,0.1542703104500511,1.1823245741705044,1.4063121303695014,Fulham,H,23.364875,59.85375,16.781374999999997,0.9002439633623701,1.8644118786961217,-0.07546992107574996,0.024310462736118255,1.259638700118091,1.33537048507974,0.030313810626559246,-0.08585497383656815
57,2645252,6,6,Liverpool,14,1.5681369304760786,1.5069199858588218,0.1996069487996969,1.7723642857086643,1.1123004403755063,Man City,H,26.70375,39.977625,33.323625,1.6905446682075116,1.1658247916884383,0.037294393638776624,-0.07950036687651985,1.8447346579212325,1.0917143277263412,0.019238393144514254,-0.06490275669395545
58,2645253,6,6,Man Utd,1,1.859190964486048,1.14796993037956,0.2688535890526968,1.367509250372866,1.3621329842984389,Spurs,H,25.062,26.371,48.572,1.5556131196362857,1.2719410605872503,0.14327094413352848,-0.018633027625698184,1.398330294292243,1.412231398042984,0.036934535717764505,0.04040506397281873
59,2645254,6,6,Sunderland,56,1.1607598592167168,1.38885647417017,0.2106726081569522,1.3956869328119723,1.2952140645211,Brighton,H,29.731,45.21625,25.05275,1.060991532456045,1.4010067806183204,0.012030209587008012,-0.07869706620149264,1.4435611460286095,1.2382202869960297,0.00938918928332455,-0.0674828537579778
60,2645255,7,7,Bournemouth,91,1.693673619936649,1.0893452305757831,0.3316001372375505,0.9679721480376764,1.438290831255319,Sunderland,H,26.71325,24.21075,49.076,1.485315776713592,1.404593255612816,-0.03540311341675795,-0.20813190400868797,1.060991532456045,1.4010067806183204,0.012030209587008012,-0.07869706620149264
61,2645256,7,7,Brentford,94,1.459582515016688,1.5775741828684335,0.1747381820378362,1.6651097112958564,1.1888767771664248,Liverpool,H,29.297375,44.78874999999999,25.913875,1.4331572898289986,1.4377185555570589,0.16598795892097973,-0.03805161582445049,1.6905446682075116,1.1658247916884383,0.037294393638776624,-0.07950036687651985
62,2645257,7,7,Brighton,36,1.666490194185101,1.0752173747187057,0.3364701592477664,1.1892362092840978,1.4027161084207012,Crystal Palace,H,26.7025,25.354750000000003,47.94275,1.4435611460286095,1.2382202869960297,0.00938918928332455,-0.0674828537579778,1.245452850996151,1.4118279802428364,0.030286766607416915,-0.04385767727787615
63,2645258,7,7,Everton,11,1.3047089728342776,1.4285031158744852,0.1935423706537347,1.5348038491084466,1.2409596902515267,Chelsea,H,28.442625,46.036,25.521375,1.1965936157693842,1.4048050581311702,0.039133181495023095,-0.06539954554238459,1.6023839768411388,1.2486298611633273,0.05092406398048466,-0.035186057692561556
64,2645259,7,7,Fulham,54,1.8349023828928284,1.0595367416549717,0.37572297096255,1.0682541308528646,1.5267941996893026,Hull City,H,25.126125,19.14775,55.726125,1.259638700118091,1.33537048507974,0.030313810626559246,-0.08585497383656815,0.8915946061537525,2.046218370751908,0.02008888954569299,-0.04124136624770258
65,2645260,7,7,Leeds,2,1.3410581724942086,1.5422731920085195,0.2071539514345584,1.3425018040248595,1.281280813144545,Man Utd,H,27.154125,44.464375,28.381500000000003,1.3057770463672596,1.464828154955399,0.05445325701024806,-0.10160188973436479,1.5556131196362857,1.2719410605872503,0.14327094413352848,-0.018633027625698184
66,2645261,7,7,Man City,43,2.489090834685114,0.7292437126602017,0.4516780791337333,0.9201728134281144,1.8043315301297096,Ipswich Town,H,14.482375,8.694749999999999,76.82287500000001,1.8447346579212325,1.0917143277263412,0.019238393144514254,-0.06490275669395545,,,,
67,2645262,7,7,Newcastle,4,1.690989930450678,1.4039474272986987,0.2277522049639153,1.2090324872268785,1.4264298803799076,Aston Villa,H,28.416000000000004,33.917625,37.666375,1.5004934275104749,1.4526972750992466,0.20642801083095863,0.06390876108922439,1.3865122107727208,1.351018843326437,0.1208132216542307,-0.10937332654436338
68,2645263,7,7,Nott'm Forest,17,1.0064730771393449,1.5743577241836089,0.1835451092390669,1.608715548567584,0.8443855486789447,Arsenal,H,25.83125,54.120375,20.048375,1.2580469564270338,1.3598256349548674,-0.028085950353334055,-0.11305593881675868,1.6364172115891495,0.8399472693468595,-0.00028906919966165123,-0.044146800965827515
69,2645264,7,7,Spurs,6,1.770569731593849,1.1017457794319094,0.3083072346885033,1.0682541308528646,1.5267941996893026,Coventry City,H,25.491125,23.531875,50.977,1.398330294292243,1.412231398042984,0.036934535717764505,0.04040506397281873,0.9906606735041694,1.7793203223929634,0.022320988384103402,-0.035862057606697806
70,2645265,8,8,Arsenal,3,1.9382741198494475,0.7886116713308485,0.4583979656225382,1.085810201739927,1.4188874554877744,Everton,H,24.005875,16.185875,59.80825,1.6364172115891495,0.8399472693468595,-0.00028906919966165123,-0.044146800965827515,1.1965936157693842,1.4048050581311702,0.039133181495023095,-0.06539954554238459
71,2645266,8,8,Aston Villa,7,1.3629735893316357,1.6636512354892992,0.1859382881096373,1.7723642857086643,1.1123004403755063,Man City,H,26.283125,50.59375,23.123125,1.3865122107727208,1.351018843326437,0.1208132216542307,-0.10937332654436338,1.8447346579212325,1.0917143277263412,0.019238393144514254,-0.06490275669395545
72,2645267,8,8,Chelsea,8,1.7860311186685531,1.2098783491173928,0.2663783666926502,1.367509250372866,1.3621329842984389,Spurs,H,24.458,24.477875,51.064125,1.6023839768411388,1.2486298611633273,0.05092406398048466,-0.035186057692561556,1.398330294292243,1.412231398042984,0.036934535717764505,0.04040506397281873
73,2645268,8,8,Coventry City,9,1.1970646270128251,1.357770736853459,0.2106661794468879,1.1823245741705044,1.4063121303695014,Fulham,H,30.171125000000004,46.777750000000005,23.051125,0.9906606735041694,1.7793203223929634,0.022320988384103402,-0.035862057606697806,1.259638700118091,1.33537048507974,0.030313810626559246,-0.08585497383656815
74,2645269,8,8,Crystal Palace,31,1.4115882110487958,1.3471577816170843,0.2311244235430768,1.2792407238005412,1.311396662140386,Newcastle,H,28.478500000000004,37.734125000000006,33.792375,1.245452850996151,1.4118279802428364,0.030286766607416915,-0.04385767727787615,1.5004934275104749,1.4526972750992466,0.20642801083095863,0.06390876108922439
75,2645270,8,8,Hull City,88,1.1520819966607103,1.5478555913339758,0.1636307606896884,1.2260841536364542,1.4468513166814645,Brentford,H,26.37425,51.5535,22.07225,0.8915946061537525,2.046218370751908,0.02008888954569299,-0.04124136624770258,1.4331572898289986,1.4377185555570589,0.16598795892097973,-0.03805161582445049
76,2645271,8,8,Ipswich Town,40,1.0055069746798826,1.814390837702932,0.1547323401227552,1.2017004987026172,1.4685966592601445,Nott'm Forest,H,23.030625,60.6225,16.346875,0.9002439633623701,1.8644118786961217,-0.07546992107574996,0.024310462736118255,1.2580469564270338,1.3598256349548674,-0.028085950353334055,-0.11305593881675868
77,2645272,8,8,Liverpool,14,1.7473057382494162,1.173592790296087,0.2764794813889417,1.3956869328119723,1.2952140645211,Brighton,H,25.340000000000003,27.633625,47.026375,1.6905446682075116,1.1658247916884383,0.037294393638776624,-0.07950036687651985,1.4435611460286095,1.2382202869960297,0.00938918928332455,-0.0674828537579778
78,2645273,8,8,Man Utd,1,1.8871849626271129,1.2770394405315857,0.2641800572083215,1.4745902057966431,1.5948490921309688,Bournemouth,H,29.47225,27.472125,43.055625000000006,1.5556131196362857,1.2719410605872503,0.14327094413352848,-0.018633027625698184,1.485315776713592,1.404593255612816,-0.03540311341675795,-0.20813190400868797
79,2645274,8,8,Sunderland,56,1.334365569966335,1.245471734312117,0.2679042878762108,1.1849909168881,1.566149051204209,Leeds,H,30.162,36.22975,33.60825,1.060991532456045,1.4010067806183204,0.012030209587008012,-0.07869706620149264,1.3057770463672596,1.464828154955399,0.05445325701024806,-0.10160188973436479
80,2645195,1,1,Coventry City,9,0.7218111690402279,1.9493592115372644,0.1177537883468698,1.6081374101682606,0.7560919467472896,Arsenal,A,19.86875,68.747875,11.383375,0.9906606735041694,1.7793203223929634,0.022320988384103402,-0.035862057606697806,1.6364172115891495,0.8399472693468595,-0.00028906919966165123,-0.044146800965827515
81,2645196,1,1,Spurs,6,1.3505917058992185,1.608235317738052,0.187791984203961,1.5580600714784136,1.3707480850325635,Brentford,A,26.868625,40.76475000000001,32.366625,1.398330294292243,1.412231398042984,0.036934535717764505,0.04040506397281873,1.4331572898289986,1.4377185555570589,0.16598795892097973,-0.03805161582445049
82,2645197,1,1,Crystal Palace,31,1.2301693639375828,1.3569926657099454,0.2449545889713182,1.1640765647299731,1.2880883644030052,Everton,A,29.163,37.7405,33.0965,1.245452850996151,1.4118279802428364,0.030286766607416915,-0.04385767727787615,1.1965936157693842,1.4048050581311702,0.039133181495023095,-0.06539954554238459
83,2645198,1,1,Man Utd,1,1.9388224256841768,1.0705051292644192,0.3460383145067526,1.0924383459100997,1.403896994657826,Hull City,A,22.0975,18.017,59.88549999999999,1.5556131196362857,1.2719410605872503,0.14327094413352848,-0.018633027625698184,0.8915946061537525,2.046218370751908,0.02008888954569299,-0.04124136624770258
84,2645199,1,1,Sunderland,56,1.5639250573935335,1.018647017540633,0.3310413482812156,0.7692329712766145,1.852952455601946,Ipswich Town,A,26.8855,19.5775,53.537,1.060991532456045,1.4010067806183204,0.012030209587008012,-0.07869706620149264,,,,
85,2645200,1,1,Leeds,2,1.2261828479189103,1.478788019503235,0.2099111894403703,1.145528597995949,1.2424847816266271,Nott'm Forest,A,28.965,41.1515,29.8835,1.3057770463672596,1.464828154955399,0.05445325701024806,-0.10160188973436479,1.2580469564270338,1.3598256349548674,-0.028085950353334055,-0.11305593881675868
86,2645201,1,1,Aston Villa,7,1.187063856787486,1.5118383195826923,0.1946242534676988,1.4144653113786214,1.1602483570051445,Brighton,A,27.997125,44.21625,27.786625,1.3865122107727208,1.351018843326437,0.1208132216542307,-0.10937332654436338,1.4435611460286095,1.2382202869960297,0.00938918928332455,-0.0674828537579778
87,2645202,1,1,Bournemouth,91,1.1527150648585431,2.057951884653213,0.1185206345462018,1.8108410719976928,0.9824949269875954,Man City,A,25.136250000000004,54.9935,19.87025,1.485315776713592,1.404593255612816,-0.03540311341675795,-0.20813190400868797,1.8447346579212325,1.0917143277263412,0.019238393144514254,-0.06490275669395545
88,2645203,1,1,Liverpool,14,1.6878166392952076,1.4286052828202358,0.2096705098063564,1.6920967454624585,1.4392141843188349,Newcastle,A,27.880000000000003,25.03975,47.08025,1.6905446682075116,1.1658247916884383,0.037294393638776624,-0.07950036687651985,1.5004934275104749,1.4526972750992466,0.20642801083095863,0.06390876108922439
89,2645204,1,1,Chelsea,8,1.4251413123832353,1.30162786579491,0.2516743411731217,1.242952195423623,1.2346021826963651,Fulham,A,27.549,27.09575,45.35525,1.6023839768411388,1.2486298611633273,0.05092406398048466,-0.035186057692561556,1.259638700118091,1.33537048507974,0.030313810626559246,-0.08585497383656815
90,2645205,2,2,Everton,11,1.1662722700693755,1.6403980542006824,0.1973990014650784,1.4037839789631272,1.1785852841135929,Bournemouth,A,27.6965,44.83975,27.46375,1.1965936157693842,1.4048050581311702,0.039133181495023095,-0.06539954554238459,1.485315776713592,1.404593255612816,-0.03540311341675795,-0.20813190400868797
91,2645206,2,2,Arsenal,3,1.5567003469321747,1.0657098806194167,0.3190661957868528,1.45065893053534,1.2076832272911808,Aston Villa,A,26.391625,20.6665,52.941875,1.6364172115891495,0.8399472693468595,-0.00028906919966165123,-0.044146800965827515,1.3865122107727208,1.351018843326437,0.1208132216542307,-0.10937332654436338
92,2645207,2,2,Brighton,36,1.309713064406136,1.4703320508892872,0.196988061335145,1.636651977069416,1.1705875748664036,Chelsea,A,27.256875,41.43725,31.305875,1.4435611460286095,1.2382202869960297,0.00938918928332455,-0.0674828537579778,1.6023839768411388,1.2486298611633273,0.05092406398048466,-0.035186057692561556
93,2645208,2,2,Hull City,88,1.1731732526329752,1.4377664350648232,0.1809050640986035,1.0924383459100997,1.403896994657826,Coventry City,A,28.165125000000003,42.013125,29.82175,0.8915946061537525,2.046218370751908,0.02008888954569299,-0.04124136624770258,0.9906606735041694,1.7793203223929634,0.022320988384103402,-0.035862057606697806
94,2645209,2,2,Man City,43,1.8069517715946728,1.0999246707628227,0.3160990911216477,1.2498097424989316,1.3150007538649489,Crystal Palace,A,23.314,18.391,58.3,1.8447346579212325,1.0917143277263412,0.019238393144514254,-0.06490275669395545,1.245452850996151,1.4118279802428364,0.030286766607416915,-0.04385767727787615
95,2645210,2,2,Brentford,94,1.4152941505207584,1.4155391705581108,0.2310106942978894,1.2938974309085962,1.3629452717354795,Leeds,A,30.754625,33.073625,36.17675,1.4331572898289986,1.4377185555570589,0.16598795892097973,-0.03805161582445049,1.3057770463672596,1.464828154955399,0.05445325701024806,-0.10160188973436479
96,2645211,2,2,Nott'm Forest,17,1.1349220673416092,1.807516029777247,0.1291199050438422,1.7396984985734096,1.0298760434133851,Liverpool,A,24.743875000000003,53.96325,21.292875,1.2580469564270338,1.3598256349548674,-0.028085950353334055,-0.11305593881675868,1.6905446682075116,1.1658247916884383,0.037294393638776624,-0.07950036687651985
97,2645212,2,2,Ipswich Town,40,0.8836511640414573,2.2602620781694926,0.0864718345364015,1.6290436922919165,1.2440147578931486,Man Utd,A,18.4285,69.915875,11.655625,0.9002439633623701,1.8644118786961217,-0.07546992107574996,0.024310462736118255,1.5556131196362857,1.2719410605872503,0.14327094413352848,-0.018633027625698184
98,2645213,2,2,Fulham,54,1.257891075135594,1.2231415806899464,0.2754061581485264,0.9920325672116924,1.2808966988523338,Sunderland,A,30.16325,30.824875,39.011875,1.259638700118091,1.33537048507974,0.030313810626559246,-0.08585497383656815,1.060991532456045,1.4010067806183204,0.012030209587008012,-0.07869706620149264
99,2645214,2,2,Newcastle,4,1.4156096425624818,1.4405774434127407,0.1900089806409383,1.441378321808395,1.4429431122440763,Spurs,A,28.7545,34.395875000000004,36.849625,1.5004934275104749,1.4526972750992466,0.20642801083095863,0.06390876108922439,1.398330294292243,1.412231398042984,0.036934535717764505,0.04040506397281873
100,2645215,3,3,Chelsea,8,1.0059738681811057,1.6808583059068267,0.1826948458156876,1.6081374101682606,0.7560919467472896,Arsenal,A,26.623125,47.01025,26.366625,1.6023839768411388,1.2486298611633273,0.05092406398048466,-0.035186057692561556,1.6364172115891495,0.8399472693468595,-0.00028906919966165123,-0.044146800965827515
101,2645216,3,3,Sunderland,56,1.1389072205998017,1.7147652292321012,0.1771848170904595,1.5580600714784136,1.3707480850325635,Brentford,A,28.13175,47.10237500000001,24.765875,1.060991532456045,1.4010067806183204,0.012030209587008012,-0.07869706620149264,1.4331572898289986,1.4377185555570589,0.16598795892097973,-0.03805161582445049
102,2645217,3,3,Leeds,2,1.1208932803296716,1.6311261116334126,0.1687713140603358,1.4144653113786214,1.1602483570051445,Brighton,A,27.957125,46.75425,25.288625000000003,1.3057770463672596,1.464828154955399,0.05445325701024806,-0.10160188973436479,1.4435611460286095,1.2382202869960297,0.00938918928332455,-0.0674828537579778
103,2645218,3,3,Man Utd,1,1.4756524432359406,1.1695590683477146,0.2774517268422763,1.1640765647299731,1.2880883644030052,Everton,A,27.192625,27.919375,44.883,1.5556131196362857,1.2719410605872503,0.14327094413352848,-0.018633027625698184,1.1965936157693842,1.4048050581311702,0.039133181495023095,-0.06539954554238459
104,2645219,3,3,Crystal Palace,31,1.1773212364869456,1.4022942555503377,0.2341093736164159,1.242952195423623,1.2346021826963651,Fulham,A,29.661250000000003,39.281,31.05775,1.245452850996151,1.4118279802428364,0.030286766607416915,-0.04385767727787615,1.259638700118091,1.33537048507974,0.030313810626559246,-0.08585497383656815
105,2645220,3,3,Aston Villa,7,1.7673208540831595,1.1830627161551326,0.3358444158228011,1.0924383459100997,1.403896994657826,Hull City,A,26.795125,20.801375,52.40350000000001,1.3865122107727208,1.351018843326437,0.1208132216542307,-0.10937332654436338,0.8915946061537525,2.046218370751908,0.02008888954569299,-0.04124136624770258
106,2645221,3,3,Liverpool,14,2.13731554335461,0.8425290918427539,0.4207262284872524,0.7692329712766145,1.852952455601946,Ipswich Town,A,17.741124999999997,11.105875,71.15299999999999,1.6905446682075116,1.1658247916884383,0.037294393638776624,-0.07950036687651985,,,,
107,2645222,3,3,Coventry City,9,0.8739121528790952,2.174097432670671,0.0908870983243574,1.8108410719976928,0.9824949269875954,Man City,A,19.548,67.68350000000001,12.7685,0.9906606735041694,1.7793203223929634,0.022320988384103402,-0.035862057606697806,1.8447346579212325,1.0917143277263412,0.019238393144514254,-0.06490275669395545
108,2645223,3,3,Bournemouth,91,1.4972139267257083,1.6860213442365062,0.1599036305435603,1.6920967454624585,1.4392141843188349,Newcastle,A,30.27725,35.898375,33.824375,1.485315776713592,1.404593255612816,-0.03540311341675795,-0.20813190400868797,1.5004934275104749,1.4526972750992466,0.20642801083095863,0.06390876108922439
109,2645224,3,3,Spurs,6,1.2788080201264298,1.3561782325509395,0.2266848149078792,1.145528597995949,1.2424847816266271,Nott'm Forest,A,26.14675,39.3965,34.45675,1.398330294292243,1.412231398042984,0.036934535717764505,0.04040506397281873,1.2580469564270338,1.3598256349548674,-0.028085950353334055,-0.11305593881675868
110,2645225,4,4,Brentford,94,1.2642236815168868,1.619837302485954,0.2083140468467044,1.4037839789631272,1.1785852841135929,Bournemouth,A,27.591,40.89125,31.52275,1.4331572898289986,1.4377185555570589,0.16598795892097973,-0.03805161582445049,1.485315776713592,1.404593255612816,-0.03540311341675795,-0.20813190400868797
111,2645226,4,4,Nott'm Forest,17,1.2361310354712631,1.5937332336809165,0.1922404840310712,1.45065893053534,1.2076832272911808,Aston Villa,A,28.48025,40.992625,30.527125,1.2580469564270338,1.3598256349548674,-0.028085950353334055,-0.11305593881675868,1.3865122107727208,1.351018843326437,0.1208132216542307,-0.10937332654436338
112,2645227,4,4,Hull City,88,0.950544786881422,1.8681014321140677,0.1061755842368601,1.636651977069416,1.1705875748664036,Chelsea,A,20.8595,63.694,15.4465,0.8915946061537525,2.046218370751908,0.02008888954569299,-0.04124136624770258,1.6023839768411388,1.2486298611633273,0.05092406398048466,-0.035186057692561556
113,2645228,4,4,Brighton,36,1.6607286127363166,1.0958348402224634,0.3337619541440939,1.0924383459100997,1.403896994657826,Coventry City,A,25.787375,19.912625,54.3,1.4435611460286095,1.2382202869960297,0.00938918928332455,-0.0674828537579778,0.9906606735041694,1.7793203223929634,0.022320988384103402,-0.035862057606697806
114,2645229,4,4,Ipswich Town,40,0.9733940845859008,1.913100628176391,0.1458408087002347,1.2498097424989316,1.3150007538649489,Crystal Palace,A,23.67325,58.5245,17.80225,0.9002439633623701,1.8644118786961217,-0.07546992107574996,0.024310462736118255,1.245452850996151,1.4118279802428364,0.030286766607416915,-0.04385767727787615
115,2645230,4,4,Newcastle,4,1.3942434952985416,1.4127534330518248,0.2145653505296091,1.2938974309085962,1.3629452717354795,Leeds,A,29.00875,34.5445,36.44675,1.5004934275104749,1.4526972750992466,0.20642801083095863,0.06390876108922439,1.3057770463672596,1.464828154955399,0.05445325701024806,-0.10160188973436479
116,2645231,4,4,Fulham,54,1.0492815853934112,1.7670594403976183,0.1286329989246841,1.7396984985734096,1.0298760434133851,Liverpool,A,25.7275,54.96062499999999,19.311875,1.259638700118091,1.33537048507974,0.030313810626559246,-0.08585497383656815,1.6905446682075116,1.1658247916884383,0.037294393638776624,-0.07950036687651985
117,2645232,4,4,Man City,43,1.5950782704236368,1.4573663038425757,0.215131014241299,1.6290436922919165,1.2440147578931486,Man Utd,A,27.44375,27.98775,44.5685,1.8447346579212325,1.0917143277263412,0.019238393144514254,-0.06490275669395545,1.5556131196362857,1.2719410605872503,0.14327094413352848,-0.018633027625698184
118,2645233,4,4,Arsenal,3,1.6717755189443708,0.8128167138148825,0.4229313223662865,0.9920325672116924,1.2808966988523338,Sunderland,A,24.366875,15.189999999999998,60.448125,1.6364172115891495,0.8399472693468595,-0.00028906919966165123,-0.044146800965827515,1.060991532456045,1.4010067806183204,0.012030209587008012,-0.07869706620149264
