,name,code,id,kickoff_time,XG,Round_XG,Round_XA,XGC,was_home,opponent,Clean_Sheet,Result,Threat,saves,ict_index,red_cards,defensive_contribution,Threat_against,Defcon_against,Saves_against,ICT_against,Plain_XG,Plain_XGC,Plain_GS,Plain_GC,XG_DEF,XG_MID,XG_FORWARD,Plain_GS_capped,Plain_GS_roll8,Plain_GS_roll18,Plain_GS_roll30,Plain_GC_capped,Plain_GC_roll8,Plain_GC_roll18,Plain_GC_roll30,Plain_XGC_capped,Plain_XGC_roll8,Plain_XGC_roll18,Plain_XGC_roll30,Plain_XG_capped,Plain_XG_roll8,Plain_XG_roll18,Plain_XG_roll30,Threat_capped,Threat_roll8,Threat_roll18,Threat_roll30,Threat_against_capped,Threat_against_roll8,Threat_against_roll18,Threat_against_roll30,Offensive_Index,Defensive_Index,XGA,XGCA,XGH,XGCH,XG_avg,XGC_avg,Rolling_Threat,Rolling_Saves,Rolling_ict_index,Rolling_Defcon_for,Rolling_Threat_Against,Rolling_Defcon_against,Rolling_ICT_Against,Rolling_Saves_Against,XG_slope,XGC_slope,Rolling_XG,Rolling_XGC,XG_neutral_slope,XGC_neutral_slope,Elo_Rating,XG_pred,XG_pred_rolling_error,XGC_pred,XGC_pred_rolling_error,cluster,XG_vs_cluster_0,XG_vs_cluster_1,XG_vs_cluster_2,XG_vs_cluster_3,XGC_vs_cluster_0,XGC_vs_cluster_1,XGC_vs_cluster_2,XGC_vs_cluster_3,kickoff_date,roll10_deep,roll10_deep_allowed,roll10_xpts,roll10_ppda,roll10_ppda_allowed
832,Aston Villa,7,2,2023-09-03 13:00:00+00:00,0.634,0.65,0.46,2.4488000000000003,False,14.0,0,0,122.0,2.0,39.4,0.0,0.0,194.0,0.0,3.0,61.900000000000006,0.65,2.47,0.0,3.0,0.2100322851203502,0.7632259392195307,0.795014716333935,0.4,1.725,1.6444444444444446,1.6,3.0,1.5499999999999998,1.0444444444444445,1.4,2.47,1.4512500000000002,1.2594444444444444,1.3926866666666666,0.65,1.9025,1.6544444444444446,1.441366666666667,122.0,122.375,122.33333333333331,118.23333333333332,194.0,114.5,113.11111111111111,129.16666666666666,1.5308416666666669,1.3220466666666666,1.2280204714815772,1.4367254428507408,1.4634030696549805,1.1900335320461424,1.4382767186174727,1.317713077057554,1.146,2.856907664473204,44.44,76.87525236036308,1.1840000000000002,76.70895388748566,42.185,2.6474480621696053,0.0413764681768763,0.000445980969138,1.503676412817362,1.3546511044003178,0.0344927169044699,-0.0092652862112447,1034.8291353812735,2.0832334237603085,-0.0946055509453956,0.9744396678249516,0.123634411221116,2,1.2461582720588236,1.9033333333333329,1.286768552123552,1.631045642605634,1.908637941176471,0.8382073856209152,1.5798565173745174,0.9423209859154936,2023-09-03,0.2381542907819851,0.22832143040635922,0.5523229069312459,0.3867433908937389,0.12228367288192153
833,Liverpool,14,11,2023-09-03 13:00:00+00:00,2.276,2.48,0.87,0.6664000000000001,True,7.0,1,2,194.0,3.0,61.900000000000006,0.0,0.0,122.0,0.0,2.0,39.4,2.48,0.66,2.0,0.0,0.0913353620859551,0.4918888205531251,0.4053016769340156,2.0,2.125,2.155555555555556,1.86,0.4,1.15,1.3555555555555556,1.3133333333333332,0.66,1.48625,1.43,1.3783500000000002,2.48,2.0675,2.06,1.9563133333333336,194.0,153.0,162.5,165.53333333333333,122.0,93.75,102.88888888888889,112.26666666666668,1.9295616666666668,1.3072125,1.6534889294766617,1.393856080243466,1.8643875475762253,1.1403617027467088,1.8442499525965552,1.2871606957475437,1.56,3.130073188965487,55.795,76.87525236036308,0.9545,76.70895388748566,38.870000000000005,2.977269611262832,0.0064881096523728,0.0310405503126617,1.8244050417305933,1.3762675125293016,0.0054363268346457,0.0279729729521674,1088.363559398589,1.465217134463103,-0.0387154905858022,1.5891118398953057,0.0879167125799439,2,1.2626582720588235,2.0341249999999995,1.3770374615384615,1.987768257042254,2.195937941176471,1.165686078431373,1.4570630153846156,1.0941583943661974,2023-09-03,0.3960491631693337,0.14986814901083984,0.6697700120237591,0.0866189562174757,0.4769674399404834
834,Crystal Palace,31,8,2023-09-03 13:00:00+00:00,2.4,2.17,1.02,1.3936,True,39.0,0,2,249.0,2.0,73.3,0.0,0.0,108.0,0.0,7.0,57.1,2.17,1.34,3.0,2.0,0.169323656822979,0.4976719922316862,0.546189678616397,3.0,1.35,1.3777777777777778,1.1733333333333331,2.0,1.1,1.3111111111111111,1.3266666666666669,1.34,1.04625,1.0977777777777775,1.28239,2.17,1.4025,1.295,1.1058933333333334,249.0,148.875,134.61111111111111,126.43333333333334,108.0,82.875,99.61111111111111,121.3,1.2587233333333334,1.1871058333333333,1.0436929552049756,1.203833019110489,1.0734014138548782,1.2557018733497918,1.1586352589316302,1.2084366397817368,1.166,2.520859549810644,43.725,76.87525236036308,1.0095,76.70895388748566,39.725,3.0121205517978344,-0.0034761265020134,-0.007566400720717,1.11598944598811,1.2277714952120002,-0.0005719703225323,-0.0077669703108728,966.4293434962474,0.9941149448328536,0.0265305043251097,1.313797673081725,0.1323003201198807,3,0.9769399264705884,1.467833333333333,1.109090708812261,1.8282682570422537,2.0070355294117648,0.8946073856209152,1.3845727203065137,1.0393083943661976,2023-09-03,0.2845437783768532,0.17291031601024415,0.5390087139250879,0.1262388858906064,0.1212241666773357
835,Wolves,39,20,2023-09-03 13:00:00+00:00,1.4200000000000002,1.34,0.8,2.3412000000000006,False,31.0,0,0,108.0,7.0,57.1,0.0,0.0,249.0,0.0,2.0,73.3,1.34,2.13,2.0,3.0,0.2719710155016142,1.0768847861419917,0.6123520673746371,2.0,0.8999999999999999,1.0,1.02,3.0,1.975,1.7999999999999998,1.6066666666666665,2.13,1.96,1.85,1.6722466666666669,1.34,1.295,1.1344444444444446,1.02053,108.0,112.875,107.38888888888889,109.1,249.0,169.25,168.33333333333334,164.86666666666667,1.0704825,1.7466283333333334,0.7811981910170384,1.6645717568962983,0.962154989969585,1.4976434449276064,0.971079545246656,1.663867967122643,1.052,3.8021848102747775,41.24,76.87525236036308,1.5125,76.70895388748566,53.24,2.674793645563379,0.0230960866398211,-0.0059841480867974,0.9889913376788436,1.6862207578207853,0.0203427428583586,-0.0018695608104112,871.4220956200006,1.185002996079609,0.031855591862195,1.3512328845863992,-0.0124944765031661,1,0.9309399264705884,1.5925710227272722,1.1629362835249044,1.3840182570422537,2.105035529411765,1.1171054545454548,1.8940790881226055,1.4591583943661977,2023-09-03,0.16443105549971518,0.38424206499150976,0.24856523447572318,0.12250006675837022,0.14398333498491284
836,Man Utd,1,14,2023-09-03 15:30:00+00:00,0.958,0.96,0.67,2.3168,False,3.0,0,0,91.0,2.0,41.3,0.0,0.0,192.0,0.0,1.0,70.9,0.96,2.27,1.0,3.0,0.2797969967498595,1.091701386344992,0.52469675217095,1.0,1.8,1.3555555555555554,1.5933333333333333,3.0,1.275,1.2333333333333334,1.2066666666666668,2.27,1.6125,1.653888888888889,1.4511566666666669,0.96,2.2775,1.9327777777777777,1.93545,91.0,171.875,156.61111111111111,160.33333333333334,192.0,139.25,133.38888888888889,128.86666666666667,1.7935791666666665,1.4052225,1.4021262308207925,1.5116792304321034,1.7649657880902028,1.1813025506289472,1.6885625880610822,1.3758566952652629,1.5865,2.916301987296947,55.96,76.87525236036308,1.255,76.70895388748566,47.675,4.384610200919981,0.011591535325018,0.0261343548683428,1.764679446705911,1.3928757391971112,0.0104528500423111,0.0251424041670775,1065.371858876434,1.8084450384161173,0.0527585498556761,1.0582655551383846,-0.067101814501451,2,0.938471580882353,1.9739435876623368,1.7351544252873563,1.844150649122807,2.211983117647059,1.027668181818182,1.612293632183908,1.0828802947368423,2023-09-03,0.44408287797584667,0.28860335445677365,0.594673366240756,0.16121362673539014,0.27439443302424227
837,Arsenal,3,1,2023-09-03 15:30:00+00:00,2.3520000000000003,2.28,1.01,0.9564,True,1.0,0,2,192.0,1.0,70.9,0.0,0.0,91.0,0.0,2.0,41.3,2.28,0.96,3.0,1.0,0.1707582746304122,0.4197497274145704,0.3732922882304737,3.0,1.725,2.377777777777778,2.12,1.0,1.15,1.4444444444444444,1.3333333333333333,0.96,1.07,1.2994444444444444,1.2055700000000005,2.28,1.67875,1.9872222222222224,1.89526,192.0,152.0,178.66666666666666,180.0,91.0,95.375,121.38888888888889,114.43333333333334,1.9232733333333336,1.2277258333333334,1.703869879112927,1.0218245310074636,2.067452001653076,1.0682317275045083,1.904467136858168,1.1363769812946596,1.6825,2.3429370633231463,57.6,76.87525236036308,1.147,76.70895388748566,41.510000000000005,3.146930658078308,-0.0175683952753332,0.0013438512872935,1.976624818330632,1.150916214032639,-0.0115530646898552,0.0034569341357071,1142.7153094975783,2.2917789021312536,0.0204615138004569,0.9948183524565266,-0.0572407763800174,0,0.9938491240875912,1.75725487012987,1.399090708812261,2.2349006491228067,1.98632797080292,1.0075245454545456,1.8267227203065133,1.0957302947368424,2023-09-03,0.4509100106258831,0.16337231357764498,0.6425941292750914,0.10549541902058937,0.41234630415229245
838,Liverpool,14,11,2023-09-16 11:30:00+00:00,2.322,2.55,2.73,0.7852,False,39.0,0,2,196.0,1.0,69.0,0.0,0.0,111.0,0.0,3.0,45.7,2.55,0.63,2.0,1.0,0.2409597476418847,0.7454830180845303,0.3370412319990341,2.0,2.25,2.0444444444444447,1.86,1.0,1.225,1.3888888888888888,1.3133333333333332,0.63,1.515,1.416111111111111,1.386016666666667,2.55,2.125,2.055,2.02798,196.0,159.375,158.27777777777777,166.3,111.0,102.625,104.33333333333331,109.53333333333332,1.9507616666666667,1.3191041666666667,1.6582787594968165,1.385206540441719,1.895920803981425,1.1143247377799697,1.8639307242028935,1.2844349028887554,1.5875,3.076894589527721,55.785,76.87525236036308,0.9435,76.70895388748566,39.88,2.948534000957406,0.0135140610811593,0.0257201958488336,1.851283998072652,1.3277291298034497,0.0130151960405401,0.0225222223725417,1102.918735776797,1.6789376475155864,-0.0887154905858022,1.3292092642598226,0.0879167125799439,0,1.3258491240875911,2.037382305194805,1.4996290267175574,1.987650649122808,2.08217797080292,1.1672118181818183,1.3270037709923663,1.0951302947368424,2023-09-16,0.43302062058384183,0.17720938868556474,0.7171164154861143,0.0885177473220903,0.45423240166963097
839,Wolves,39,20,2023-09-16 11:30:00+00:00,0.8,0.63,1.08,2.504,True,14.0,0,0,111.0,3.0,45.7,0.0,0.0,196.0,0.0,1.0,69.0,0.63,2.55,1.0,3.0,0.3907123637727983,0.842210565390564,0.5984642852837971,1.0,0.8999999999999999,1.0333333333333334,1.02,3.0,2.3,1.855555555555556,1.6733333333333331,2.55,2.0825,1.8522222222222224,1.7439133333333332,0.63,1.28625,1.1177777777777778,1.0281966666666666,111.0,120.0,111.16666666666669,108.0,196.0,176.25,168.55555555555554,166.2,1.0760408333333331,1.815895,0.8211993735008584,1.7128961749011968,0.9661970257376892,1.5050539349325047,0.9848695164763034,1.7124350274584257,1.0695,3.845400010227217,42.36,76.87525236036308,1.575,76.70895388748566,54.9,2.543882601177467,0.0257529502983249,-0.00085372175856,1.011673917746768,1.7278059991501815,0.0231299827807253,0.0020269430902085,863.8902598646638,0.8477274786248014,0.0247235746216907,1.3361147187484268,-0.0479140424027567,1,0.9283239781021898,1.5958818548387093,1.1639193511450383,1.3672003245614033,2.105399299270073,1.1154280000000003,1.8933858473282448,1.5981401473684214,2023-09-16,0.18808501898926946,0.4238016411997125,0.212931897469205,0.14849137542350854,0.1421615128812319
840,Man Utd,1,14,2023-09-16 14:00:00+00:00,0.986,0.96,0.69,2.0096000000000003,True,36.0,0,0,105.0,5.0,45.8,0.0,0.0,160.0,0.0,3.0,65.5,0.96,1.89,1.0,3.0,0.142572072324383,0.7546477793368739,0.5994328112172134,1.0,1.675,1.3888888888888888,1.6133333333333333,3.0,1.6,1.1777777777777778,1.2066666666666668,1.89,1.7987499999999998,1.6116666666666668,1.5008233333333334,0.96,2.06375,1.9372222222222224,1.9541166666666667,105.0,156.125,157.72222222222223,159.33333333333334,160.0,151.875,127.16666666666669,131.76666666666668,1.7694041666666669,1.4486475,1.4003469086880342,1.503759996136527,1.7552360733314394,1.1914180005358108,1.673597828838202,1.3981182491680846,1.5385,2.955570526867856,54.625,76.87525236036308,1.3065,76.70895388748566,48.74,4.34441050387778,-0.00182872532064,0.025337627524814,1.710079476118013,1.4496403290223827,0.0035373282752658,0.0236731775252778,1053.716777121101,1.3220433854823828,0.0458417484983365,1.98880202684201,-0.0503712702004361,2,1.0106803260869566,1.976308467741935,1.7366290267175577,1.844150649122807,2.106529739130435,1.0264700000000002,1.6112537709923664,1.0828802947368423,2023-09-16,0.39674145618935275,0.260117957749896,0.5263872044592871,0.19581743818044556,0.263877530445412
841,Spurs,6,18,2023-09-16 14:00:00+00:00,2.116,1.87,1.84,0.7272000000000001,True,49.0,0,2,297.0,4.0,94.9,0.0,0.0,98.0,0.0,8.0,44.9,1.87,0.58,2.0,1.0,0.1151243339901245,0.9277476824253764,0.1556286706114719,2.0,2.125,1.9666666666666663,1.8733333333333333,1.0,1.475,1.7888888888888888,1.7733333333333332,0.58,1.3225,1.4855555555555555,1.3661933333333331,1.87,1.8425,1.7161111111111111,1.4762266666666666,297.0,187.25,148.38888888888889,147.16666666666666,98.0,121.0,131.16666666666666,136.86666666666667,1.7073233333333333,1.4760983333333333,1.509361794781473,1.5219706253331275,1.5576673658069051,1.3052749914667627,1.620418956813761,1.444860570866639,1.328,3.0540173231185834,49.66,76.87525236036308,1.2235,76.70895388748566,46.85,3.64343755139354,0.0126779697098994,-0.003767592990666,1.6571093274383073,1.4437301605094226,0.0128351907802802,-0.0012872738879457,1030.3082762619072,2.4168385509173973,-0.0346456948440031,1.103327695935586,0.0062544836574751,2,1.1401545652173914,1.9404701612903223,1.475894695817491,1.581650649122807,2.342968347826087,1.2945740000000003,1.6560735285171102,1.0304802947368423,2023-09-16,0.4183861491721259,0.25188807900495613,0.5978320099703902,0.10396387104998409,0.1786803866775647
