,name,position,value,team_code,selected,web_name,DefCon,Risk_share_avg,Point_STD,offset,id,0,38
72,Axel_Tuanzebe,DEF,3.9,90,0.009000000000000001,Tuanzebe,9.07,0.4392272598059228,1.74,1,198,0,1.5301814886747072
73,Ayden_Heaven,DEF,3.7,1,0.026000000000000002,Heaven,9.1,0.414784758315133,2.29,1,447,0,2.588798643693264
74,Bafodé_Diakité,DEF,4.1,91,0.003,Diakité,8.26,0.3597705507029409,1.99,1,685,0,0.387758781460121
75,Bart_Verbruggen,GKP,4.6,36,0.095,Verbruggen,0.0,0.3355602303730837,1.87,1,139,0,3.239070639939381
76,Bashir_Humphreys,DEF,3.9,90,0.001,Humphreys,8.37,0.4486994487970462,1.66,1,193,0,2.922288824849382
77,Bastien_Meupiyou Menadjou,DEF,4.0,39,0.0,Meupiyou,0.0,0.399050626036024,3.0,1,639,0,0.0
78,Ben_Broggio,MID,4.4,7,0.002,Broggio,0.0,0.0933164978077088,3.0,1,60,0,0.0
79,Ben_Casey,FWD,4.5,31,0.0,Casey,0.0,0.0457316003676421,3.0,1,780,0,0.0
80,Ben_Davies,DEF,4.3,6,0.001,Davies,9.26,0.4167046508540795,2.1,1,571,0,0.0
81,Ben_Gannon-Doak,MID,4.8,91,0.0,Gannon-Doak,12.5,0.1811921771802956,3.0,1,391,0,0.2066262017473228
82,Ben_Winterburn,MID,4.5,91,0.0,Winterburn,0.0,0.1296702596397283,3.0,1,96,0,0.0
83,Bendito_Mantato,MID,4.5,1,0.0,Bendito Mantato,0.0,0.1230327855598521,3.0,1,769,0,0.1534680342968923
84,Benjamin_Arthur,DEF,3.8,94,0.002,Arthur,0.0,0.4475788276272839,3.0,1,114,0,0.0
85,Benjamin_Fredrick,DEF,4.0,94,0.001,Fredrick,0.0,0.5265836035087759,3.0,1,115,0,0.0
86,Benjamin_Lecomte,GKP,3.9,54,0.006999999999999999,Lecomte,0.0,0.3385972994316312,3.0,1,664,0,0.0
87,Benjamin_Sesko,FWD,7.2,1,0.049,Šeško,3.53,0.3473813589845786,2.22,1,681,0,1.4885874867063384
88,Benjamin_White,DEF,5.1,3,0.005,White,6.82,0.4768813274884285,2.09,1,11,0,0.0
89,Benoît_Badiashile Mukinayi,DEF,4.4,8,0.0,B.Badiashile,9.19,0.399340404691947,1.29,1,229,0,0.9244553965945422
90,Bernardo_Veiga de Carvalho e Silva,MID,6.2,43,0.006999999999999999,Bernardo,8.13,0.3865433832172182,1.54,1,416,0,3.6103807743699496
91,Bernd_Leno,GKP,5.0,54,0.023,Leno,0.0,0.3385972994316312,1.77,1,314,0,2.910889656934911
92,Bertrand_Traoré,MID,5.5,56,0.0,Traoré,5.68,0.2203098056990715,1.69,1,735,0,0.35707903480011505
