,name,CBI
297,Michael_Keane,8.862332695984703
298,Nathan_Patterson,1.6199999999999999
299,Roman_Dixon,0.72
300,Reece_Welch,0.0
301,Iliman_Ndiaye,9.830997526793075
302,Dwight_McNeil,6.390922401171303
303,Carlos_Alcaraz Durán,6.12
304,Idrissa_Gueye,12.282076395690499
305,James_Garner,10.245283018867925
306,Tim_Iroegbunam,9.99
307,Harrison_Armstrong,0.27
308,Callum_Bates,0.0
309,Coby_Ebere,0.0
310,Isaac_Heath,0.0
311,Jenson_Metcalfe,0.0
312,Thierno_Barry,0.0
313,Norberto_Bercique Gomes Betuncal,4.970414201183432
314,Youssef_Ramalho Chermiti,0.0
315,Martin_Sherif,0.0
316,Adam_Aznou,0.0
317,Bernd_Leno,0.0
318,Steven_Benda,0.0
319,Antonee_Robinson,8.215413771320279
320,Joachim_Andersen,9.52861952861953
321,Calvin_Bassey,5.972674040338322
322,Timothy_Castagne,8.166869671132764
323,Issa_Diop,7.556221889055473
324,Jorge_Cuenca Barreno,3.42
325,Kenny_Tete,8.223350253807107
326,Samuel_Amissah,0.0
327,Alex_Iwobi,6.85340489768534
328,Emile_Smith Rowe,5.967583497053044
329,Adama_Traoré Diarra,5.740318906605923
330,Andreas_Hoelgebaum Pereira,6.736526946107784
331,Ryan_Sessegnon,6.659999999999999
332,Harry_Wilson,7.2125435540069684
333,Sander_Berge,9.806393516434039
334,Tom_Cairney,6.569999999999999
335,Saša_Lukić,9.352640545144803
336,Martial_Godo,0.18
337,Luke_Harris,0.0
338,Josh_King,1.26
339,Harrison_Reed,1.71
340,Raúl_Jiménez,5.539018503620273
341,Rodrigo_Muniz Carvalho,4.05
342,Benjamin_Lecomte,0.0
343,Illan_Meslier,0.0
344,Alex_Cairns,0.0
345,Karl_Darlow,0.0
346,Jayden_Bogle,0.0
347,Pascal_Struijk,0.0
348,Jaka_Bijol,0.0
349,Sebastiaan_Bornauw,0.0
350,Sam_Byram,0.0
351,Gabriel_Gudmundsson,0.0
352,Joe_Rodon,0.0
353,Isaac_Schmidt,0.0
354,Brenden_Aaronson,0.0
355,Wilfried_Gnonto,0.0
356,Jack_Harrison,6.441005802707931
357,Daniel_James,0.0
358,Ethan_Ampadu,0.0
359,Sam_Greenwood,0.0
360,Ilia_Gruev,0.0
361,Largie_Ramazani,0.0
362,Tanaka_Ao,0.0
363,Charlie_Crew,0.0
364,Joe_Gelhardt,0.0
365,Darko_Gyabi,0.0
366,Joël_Piroe,0.0
367,Patrick_Bamford,0.0
368,Mateo_Joseph Fernández-Regatillo,0.0
369,Lukas_Nmecha,0.0
370,Sean_Longstaff,7.02
371,Anton_Stach,0.0
372,Lucas_Estella Perri,0.0
373,Alisson_Ramses Becker,0.0
374,Giorgi_Mamardashvili,0.0
375,Ármin_Pécsi,0.0
376,Freddie_Woodman,0.0
377,Jeremie_Frimpong,0.0
378,Milos_Kerkez,5.58453237410072
379,Andrew_Robertson,3.8483259378781765
380,Virgil_van Dijk,8.108108108108107
381,Ibrahima_Konaté,6.923076923076923
382,Conor_Bradley,4.05
383,Joe_Gomez,4.05
