,GW,name,position,Team,average_minutes,Goal_share,Assist_share,Pen_data,CBI_Percent,BPS,Save_Pred,Pos_Goal_Threat,Pos_Assist_Threat,Cards,Goal_factor,Assist_factor,CS_factor,default_points,value,selected,web_name
58,4,Adam_Smith,DEF,91,88.07834016922187,0.004883971086807927,0.0420250468380754,0.0,0.4024822774086926,1.0,0.0,0.08889625198006,0.1232474178099194,0.22,6,3,4.0,2,45,0.1,Smith
59,5,Adam_Smith,DEF,91,88.07834016922187,0.004883971086807927,0.0420250468380754,0.0,0.36486183737031413,1.0,0.0,0.0657635408909501,0.0908072387838765,0.22,6,3,4.0,2,45,0.1,Smith
60,6,Adam_Smith,DEF,91,88.07834016922187,0.004883971086807927,0.0420250468380754,0.0,0.2942444319941571,1.0,0.0,0.071716035331533,0.0966010795611501,0.22,6,3,4.0,2,45,0.1,Smith
61,7,Adam_Smith,DEF,91,88.07834016922187,0.004883971086807927,0.0420250468380754,0.0,0.3427223247271306,1.0,0.0,0.1035116835173791,0.0919236790556925,0.22,6,3,4.0,2,45,0.1,Smith
62,8,Adam_Smith,DEF,91,88.07834016922187,0.004883971086807927,0.0420250468380754,0.0,0.33517363284273644,1.0,0.0,0.0770513809953182,0.1060303560209065,0.22,6,3,4.0,2,45,0.1,Smith
63,2,Adam_Wharton,MID,31,85.68528549999999,0.035182790855798986,0.17736761012284089,0.0,0.28185731781074536,4.2780000000000005,0.0,0.064463650057572,0.1306937301038149,0.12,5,3,1.0,2,55,0.9,Wharton
64,3,Adam_Wharton,MID,31,85.68528549999999,0.035182790855798986,0.17736761012284089,0.0,0.16999049530239208,4.2780000000000005,0.0,0.1015273032273039,0.1162160041968325,0.12,5,3,1.0,2,55,0.9,Wharton
65,4,Adam_Wharton,MID,31,85.68528549999999,0.035182790855798986,0.17736761012284089,0.0,0.08389692220306859,4.2780000000000005,0.0,0.1015026890760771,0.1373040083687681,0.12,5,3,1.0,2,55,0.9,Wharton
66,5,Adam_Wharton,MID,31,85.68528549999999,0.035182790855798986,0.17736761012284089,0.0,0.22122952235677507,4.2780000000000005,0.0,0.094538977983863,0.1093234105418477,0.12,5,3,1.0,2,55,0.9,Wharton
67,6,Adam_Wharton,MID,31,85.68528549999999,0.035182790855798986,0.17736761012284089,0.0,0.2314543038907286,4.2780000000000005,0.0,0.1182429486022436,0.1559093911955459,0.12,5,3,1.0,2,55,0.9,Wharton
68,7,Adam_Wharton,MID,31,85.68528549999999,0.035182790855798986,0.17736761012284089,0.0,0.2196855180721192,4.2780000000000005,0.0,0.0918964190740629,0.1164876249095094,0.12,5,3,1.0,2,55,0.9,Wharton
69,8,Adam_Wharton,MID,31,85.68528549999999,0.035182790855798986,0.17736761012284089,0.0,0.2771457720670075,4.2780000000000005,0.0,0.1245267459124569,0.1253558391865506,0.12,5,3,1.0,2,55,0.9,Wharton
70,2,Adrien_Truffert,DEF,91,90.0,0.046327243956027074,0.12398617381505334,0.0,0.3860963960525967,2.8240000000000003,0.0,0.0908831332883217,0.1414530696177566,0.13,6,3,4.0,2,55,4.4,Truffert
71,3,Adrien_Truffert,DEF,91,90.0,0.046327243956027074,0.12398617381505334,0.0,0.41766768460571635,2.8240000000000003,0.0,0.0840557428125974,0.1201068884095,0.13,6,3,4.0,2,55,4.4,Truffert
72,4,Adrien_Truffert,DEF,91,90.0,0.046327243956027074,0.12398617381505334,0.0,0.41031163405511833,2.8240000000000003,0.0,0.0805938715873454,0.1402627448261693,0.13,6,3,4.0,2,55,4.4,Truffert
73,5,Adrien_Truffert,DEF,91,90.0,0.046327243956027074,0.12398617381505334,0.0,0.372415496925578,2.8240000000000003,0.0,0.0567970734474291,0.102622533658791,0.13,6,3,4.0,2,55,4.4,Truffert
74,6,Adrien_Truffert,DEF,91,90.0,0.046327243956027074,0.12398617381505334,0.0,0.301029030420561,2.8240000000000003,0.0,0.0778111604550153,0.089372344562811,0.13,6,3,4.0,2,55,4.4,Truffert
75,7,Adrien_Truffert,DEF,91,90.0,0.046327243956027074,0.12398617381505334,0.0,0.3500702639918905,2.8240000000000003,0.0,0.0804005657829288,0.1094778802704673,0.13,6,3,4.0,2,55,4.4,Truffert
76,8,Adrien_Truffert,DEF,91,90.0,0.046327243956027074,0.12398617381505334,0.0,0.34244404972862796,2.8240000000000003,0.0,0.0610743166228776,0.1054495372972405,0.13,6,3,4.0,2,55,4.4,Truffert
77,2,Aladji_Bamba,MID,4,0.0,0.0,0.0,0.0,0.03678863031337342,1.0,0.0,0.05,0.05,0.1,5,3,1.0,2,50,0.1,Bamba
78,3,Aladji_Bamba,MID,4,0.0,0.0,0.0,0.0,0.039756546385852645,1.0,0.0,0.05,0.05,0.1,5,3,1.0,2,50,0.1,Bamba
79,4,Aladji_Bamba,MID,4,0.0,0.0,0.0,0.0,0.030723899132778985,1.0,0.0,0.05,0.05,0.1,5,3,1.0,2,50,0.1,Bamba
80,5,Aladji_Bamba,MID,4,0.0,0.0,0.0,0.0,0.02372282516517086,1.0,0.0,0.05,0.05,0.1,5,3,1.0,2,50,0.1,Bamba
81,6,Aladji_Bamba,MID,4,0.0,0.0,0.0,0.0,0.02515030201376128,1.0,0.0,0.05,0.05,0.1,5,3,1.0,2,50,0.1,Bamba
82,7,Aladji_Bamba,MID,4,0.0,0.0,0.0,0.0,0.028973682128624403,1.0,0.0,0.05,0.05,0.1,5,3,1.0,2,50,0.1,Bamba
83,8,Aladji_Bamba,MID,4,0.0,0.0,0.0,0.0,0.033588064400416756,1.0,0.0,0.05,0.05,0.1,5,3,1.0,2,50,0.1,Bamba
84,2,Alejandro_Garnacho,MID,7,56.0515497635278,0.1059031313528669,0.14369364896747597,0.0,0.027489981180099887,1.744,0.0,0.1267564499146806,0.0772771364408958,0.1,5,3,1.0,2,60,0.6,Garnacho
85,3,Alejandro_Garnacho,MID,7,56.0515497635278,0.10588298122354,0.14366279086747447,0.0,0.02372282516517086,1.744,0.0,0.1675908064213912,0.1664808681863076,0.1,5,3,1.0,2,60,0.6,Garnacho
86,4,Alejandro_Garnacho,MID,7,56.0515497635278,0.10588298122354,0.14366279086747447,0.0,0.032511470609795,1.744,0.0,0.2012933931534137,0.2143430364380944,0.1,5,3,1.0,2,60,0.6,Garnacho
87,5,Alejandro_Garnacho,MID,7,56.0515497635278,0.10588298122354,0.14366279086747447,0.0,0.03678863031337342,1.744,0.0,0.1501459853844722,0.2142228238650876,0.1,5,3,1.0,2,60,0.6,Garnacho
88,6,Alejandro_Garnacho,MID,7,56.0515497635278,0.10588298122354,0.14366279086747447,0.0,0.039849542275244156,1.744,0.0,0.1957213773328405,0.1685659792684446,0.1,5,3,1.0,2,60,0.6,Garnacho
