opponent,pos_group,Threat,Goal_Threat,Assist_Threat,Understat_XG_Against,Understat_XA_Against,N_players_avg,Rolling_Goals_Against_Per_Position_20,npxG_ewm,xA_ewm
Chelsea,DR,0.018940849908889217,0.018940849908889217,0.09242401260816008,0.023266469037569053,0.07482347521774207,1.0,0.05,0.023266469037569053,0.07482347521774207
Chelsea,FW,0.3482564493323633,0.3482564493323633,0.1522349597859177,0.42778956248011096,0.12324447315556054,1.076552735416448,0.6,0.42778956248011096,0.12324447315556054
Chelsea,LW,0.194159620045336,0.194159620045336,0.1750101458042697,0.23850084921537212,0.14168252316587973,1.0,0.25,0.23850084921537212,0.14168252316587973
Chelsea,MC,0.05405310925034299,0.05405310925034299,0.09632103066117016,0.06639749529756957,0.07797837431251205,2.2377469408936834,0.15,0.06639749529756957,0.07797837431251205
Chelsea,RW,0.12745905447496694,0.12745905447496694,0.20647936929928468,0.15656753307083032,0.1671589832096947,1.0,0.2,0.15656753307083032,0.1671589832096947
Coventry City,AMC,0.19034193993988793,0.19034193993988793,0.20563320636726196,0.26843520105018503,0.26376447468041614,1.1292898875450232,0.6666666666666666,0.26843520105018503,0.26376447468041614
Coventry City,CB,0.028791867199275206,0.028791867199275206,0.019905287942779445,0.0378292530882904,0.020645385879299937,2.2508334809739994,0.25,0.0378292530882904,0.020645385879299937
Coventry City,DL,0.02714371157767856,0.02714371157767856,0.09733781234224542,0.03741709657978913,0.12018163366776226,1.0,0.0,0.03741709657978913,0.12018163366776226
Coventry City,DM,0.056595470284727264,0.056595470284727264,0.07522686931796944,0.08153305216032261,0.0940013092529511,1.961185123296107,0.6666666666666666,0.08153305216032261,0.0940013092529511
Coventry City,DR,0.02540142397954276,0.02540142397954276,0.09263820003859416,0.034373806462253284,0.11553211935199403,1.0,0.0,0.034373806462253284,0.11553211935199403
Coventry City,FW,0.2842899969709819,0.2842899969709819,0.10891981292406146,0.3947508513831692,0.13385662901661488,1.0511427876947246,0.75,0.3947508513831692,0.13385662901661488
Coventry City,LW,0.12351841541829874,0.12351841541829874,0.11437051343860542,0.17588267203966423,0.145420342614794,1.0000000000020965,0.0,0.17588267203966423,0.145420342614794
Coventry City,MC,0.08902141512351072,0.08902141512351072,0.12358535858502853,0.10487056734816519,0.11726429031467314,2.427685814260334,0.0,0.10487056734816519,0.11726429031467314
Coventry City,RW,0.16459748834601656,0.16459748834601656,0.2004949124116379,0.24305598780165868,0.2717768883079184,1.0014195009764282,0.25,0.24305598780165868,0.2717768883079184
Crystal Palace,AMC,0.1588073837461749,0.1588073837461749,0.14307095894581653,0.23949265975272657,0.17056164091086762,1.2146233656981575,0.6,0.23949265975272657,0.17056164091086762
Crystal Palace,CB,0.037892043844453445,0.037892043844453445,0.03108757953658637,0.057143856599763856,0.0370609704217847,2.1323808274528377,0.05,0.057143856599763856,0.0370609704217847
Crystal Palace,DL,0.029231979648454972,0.029231979648454972,0.08068031620493783,0.04408387312164054,0.09618281181950683,1.0,0.1,0.04408387312164054,0.09618281181950683
Crystal Palace,DM,0.03457155169355619,0.03457155169355619,0.1149713297184991,0.05213632182305931,0.13706274703811933,1.9999999999809672,0.05,0.05213632182305931,0.13706274703811933
Crystal Palace,DR,0.014162302362174323,0.014162302362174323,0.11277906028575313,0.021357744085505385,0.1344492392059009,1.0,0.0,0.021357744085505385,0.1344492392059009
Crystal Palace,FW,0.31908171139609554,0.31908171139609554,0.0464428702663966,0.4811975736773224,0.05536673703464244,1.118054102887246,0.65,0.4811975736773224,0.05536673703464244
Crystal Palace,LW,0.09838162209793451,0.09838162209793451,0.11489159263752696,0.1483663781318951,0.13696768870152704,1.0,0.05,0.1483663781318951,0.13696768870152704
Crystal Palace,MC,0.08316014004446153,0.08316014004446153,0.09454510414180811,0.10849659667782734,0.09268962548829145,2.49354952123401,0.25,0.10849659667782734,0.09268962548829145
Crystal Palace,RW,0.15863894917188034,0.15863894917188034,0.16971284152160468,0.23923864861520544,0.20232268621707822,1.0,0.25,0.23923864861520544,0.20232268621707822
Everton,AMC,0.158046010050642,0.158046010050642,0.14268024798671924,0.2109024629539424,0.16870546978301323,1.1988787319562602,0.1,0.2109024629539424,0.16870546978301323
Everton,CB,0.0436070478130049,0.0436070478130049,0.03784456823916321,0.058190863426202034,0.04474750887815678,2.2237218846732483,0.05,0.058190863426202034,0.04474750887815678
Everton,DL,0.041020325355623964,0.041020325355623964,0.12547059521946793,0.05473904495216965,0.14835673479082345,1.0,0.05,0.05473904495216965,0.14835673479082345
Everton,DM,0.06444875030086347,0.06444875030086347,0.09763858704063189,0.0860028049325661,0.11544810110767867,1.9594428865421065,0.15,0.0860028049325661,0.11544810110767867
