fpl_name,fpl_web_name,understat_player_name,match_score,matched_on,player_name,Matched_Pos_List,Matched_Pos_Pct_List,Test
Noussair_Mazraoui,Mazraoui,Noussair Mazraoui,100.0,name-strict,Noussair Mazraoui,"['DR', 'CB']","[0.8, 0.2]",1
Luke_Shaw,Shaw,Luke Shaw,100.0,name-strict,Luke Shaw,['DL'],[1.0],1
Harry_Amass,Amass,Harry Amass,100.0,name-strict,Harry Amass,['DL'],[1.0],1
Tyler_Fredricson,Fredricson,Tyler Fredricson,100.0,name-strict,Tyler Fredricson,['CB'],[1.0],1
Bruno_Borges Fernandes,B.Fernandes,Bruno Fernandes,95.0,name-strict,Bruno Fernandes,['AMC'],[1.0],1
Bryan_Mbeumo,Mbeumo,Bryan Mbeumo,100.0,name-strict,Bryan Mbeumo,"['FW', 'RW']","[0.5, 0.5]",1
Matheus_Santos Carneiro Da Cunha,Cunha,Matheus Cunha,90.0,web_name-relaxed,Matheus Cunha,['LW'],[1.0],1
Marcus_Rashford,Rashford,Marcus Rashford,100.0,name-strict,Marcus Rashford,"['FW', 'LW']","[0.75, 0.25]",1
Mason_Mount,Mount,Mason Mount,100.0,name-strict,Mason Mount,"['DM', 'AMC']","[0.5, 0.5]",1
Amad_Diallo,Amad,Amadou Diallo,91.66666666666666,name-relaxed,Amadou Diallo,['RW'],[1.0],1
Kobbie_Mainoo,Mainoo,Kobbie Mainoo,100.0,name-strict,Kobbie Mainoo,['DM'],[1.0],1
Manuel_Ugarte Ribeiro,Ugarte,Manuel Ugarte,90.0,name-relaxed,Manuel Ugarte,"['DM', 'MC']","[0.75, 0.25]",1
Jack_Fletcher,J.Fletcher,Jack Fletcher,100.0,name-strict,Jack Fletcher,['SUB'],[1.0],1
Shea_Lacey,Lacey,Shea Lacey,100.0,name-strict,Shea Lacey,['SUB'],[1.0],1
Toby_Collyer,Collyer,Toby Collyer,100.0,name-strict,Toby Collyer,['SUB'],[1.0],1
Bendito_Mantato,Bendito Mantato,Bendito Mantato,100.0,name-strict,Bendito Mantato,['SUB'],[1.0],1
Tyler_Fletcher,Fletcher,Tyler Fletcher,100.0,name-strict,Tyler Fletcher,['SUB'],[1.0],1
Benjamin_Sesko,Šeško,Benjamin Sesko,100.0,name-strict,Benjamin Sesko,['FW'],[1.0],1
Joshua_Zirkzee,Zirkzee,Joshua Zirkzee,100.0,name-strict,Joshua Zirkzee,['FW'],[1.0],1
Chido_Obi,Obi,Chido Obi-Martin,90.0,name-relaxed,Chido Obi-Martin,['FW'],[1.0],1
Nick_Pope,Pope,Nick Pope,100.0,name-strict,Nick Pope,['GK'],[1.0],1
Mark_Gillespie,Gillespie,Unknown for understat,,no-match,,['SUB'],[1.0],1
Ewen_Jaouen,Jaouen,Unknown for understat,,no-match,,['SUB'],[1.0],1
Malick_Thiaw,Thiaw,Malick Thiaw,100.0,name-strict,Malick Thiaw,['CB'],[1.0],1
Fabian_Schär,Schär,Fabian Schär,100.0,name-strict,Fabian Schär,['CB'],[1.0],1
Sven_Botman,Botman,Sven Botman,100.0,name-strict,Sven Botman,['CB'],[1.0],1
Dan_Burn,Burn,Dan Burn,100.0,name-strict,Dan Burn,"['CB', 'DL']","[0.5714285714285714, 0.42857142857142855]",1
Lewis_Hall,Hall,Lewis Hall,100.0,name-strict,Lewis Hall,"['DL', 'DR']","[0.8888888888888888, 0.1111111111111111]",1
Tino_Livramento,Livramento,Valentino Livramento,90.0,web_name-relaxed,Valentino Livramento,['DR'],[1.0],1
Alex_Murphy,A.Murphy,Alex Murphy,100.0,name-strict,Alex Murphy,['SUB'],[1.0],1
Bruno_Guimarães Rodriguez Moura,Bruno G.,Bruno Guimarães,90.0,name-relaxed,Bruno Guimarães,"['MC', 'DM']","[0.6666666666666666, 0.3333333333333333]",1
Harvey_Barnes,Barnes,Harvey Barnes,100.0,name-strict,Harvey Barnes,"['LW', 'RW']","[0.8, 0.2]",1
Anthony_Elanga,Elanga,Anthony Elanga,100.0,name-strict,Anthony Elanga,['RW'],[1.0],1
Jacob_Ramsey,J.Ramsey,Jacob Ramsey,100.0,name-strict,Jacob Ramsey,"['MC', 'LW', 'DM']","[0.42857142857142855, 0.2857142857142857, 0.2857142857142857]",1
Jacob_Murphy,J.Murphy,Jacob Murphy,100.0,name-strict,Jacob Murphy,"['RW', 'DR']","[0.8333333333333334, 0.16666666666666666]",1
Joelinton_Cássio Apolinário de Lira,Joelinton,Joelinton,90.0,name-relaxed,Joelinton,"['MC', 'LW', 'DM']","[0.5, 0.375, 0.125]",1
Lewis_Miley,L.Miley,Lewis Miley,100.0,name-strict,Lewis Miley,"['DR', 'MC']","[0.6666666666666666, 0.3333333333333333]",1
Joe_Willock,Willock,Joe Willock,100.0,name-strict,Joe Willock,"['MC', 'AMC', 'DM']","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666]",1
Bazoumana_Touré,Touré,Fode Toure,90.0,web_name-relaxed,Fode Toure,['SUB'],[1.0],1
Sean_Steur,Steur,Unknown for understat,,no-match,,['SUB'],[1.0],1
Nick_Woltemade,Woltemade,Nick Woltemade,100.0,name-strict,Nick Woltemade,"['AMC', 'FW']","[0.7142857142857143, 0.2857142857142857]",1
Yoane_Wissa,Wissa,Yoane Wissa,100.0,name-strict,Yoane Wissa,['FW'],[1.0],1
William_Osula,Osula,William Osula,100.0,name-strict,William Osula,['FW'],[1.0],1
Sean_Neave,Neave,Sean Neave,100.0,name-strict,Sean Neave,['SUB'],[1.0],1
Matz_Sels,Sels,Matz Sels,100.0,name-strict,Matz Sels,['GK'],[1.0],1
John_Victor Maciel Furtado,John,John Victor,90.0,name-relaxed,John Victor,['GK'],[1.0],1
Neco_Williams,N.Williams,Neco Williams,100.0,name-strict,Neco Williams,"['DL', 'DR']","[0.99, 0.0]",1
Felipe_Rodrigues da Silva,Morato,Rodri,90.0,name-relaxed,Rodri,"['DM', 'MC']","[0.8, 0.2]",1
Nikola_Milenković,Milenković,Nikola Milenkovic,100.0,name-strict,Nikola Milenkovic,['CB'],[1.0],1
Murillo_Costa dos Santos,Murillo,Murillo,90.0,name-relaxed,Murillo,['CB'],[1.0],1
Ola_Aina,Aina,Ola Aina,100.0,name-strict,Ola Aina,"['DR', 'DL']","[0.9, 0.1]",1
Jair_Paula da Cunha Filho,Jair Cunha,Jair,90.0,name-relaxed,Jair,"['CB', 'DR']","[0.8333333333333334, 0.16666666666666666]",1
Nicolò_Savona,Savona,Nicolò Savona,100.0,name-strict,Nicolò Savona,['DR'],[1.0],1
Omar_Richards,O.Richards,Unknown for understat,,no-match,,['SUB'],[1.0],1
Zach_Abbott,Abbott,Zach Abbott,100.0,name-strict,Zach Abbott,['DR'],[1.0],1
Luca_Netz,Netz,Luca Netz,100.0,name-strict,Luca Netz,['DL'],[1.0],1
Tyler_Bindon,Bindon,Unknown for understat,,no-match,,['SUB'],[1.0],1
Morgan_Gibbs-White,Gibbs-White,Morgan Gibbs-White,100.0,name-strict,Morgan Gibbs-White,"['LW', 'AMC', 'FW']","[0.4444444444444444, 0.4444444444444444, 0.1111111111111111]",1
Callum_Hudson-Odoi,Hudson-Odoi,Callum Hudson-Odoi,100.0,name-strict,Callum Hudson-Odoi,"['LW', 'RW']","[0.6666666666666666, 0.3333333333333333]",1
Dan_Ndoye,Ndoye,Dan Ndoye,100.0,name-strict,Dan Ndoye,['RW'],[1.0],1
Omari_Hutchinson,Hutchinson,Omari Hutchinson,100.0,name-strict,Omari Hutchinson,"['RW', 'LW']","[0.8571428571428571, 0.14285714285714285]",1
Dilane_Bakwa,Bakwa,Dilane Bakwa,100.0,name-strict,Dilane Bakwa,"['RW', 'AMC', 'LW']","[0.5, 0.25, 0.25]",1
James_McAtee,McAtee,James McAtee,100.0,name-strict,James McAtee,['LW'],[1.0],1
Nicolás_Domínguez,Dominguez,Nicolás Domínguez,100.0,name-strict,Nicolás Domínguez,"['MC', 'AMC']","[0.8, 0.2]",1
Ibrahim_Sangaré,Sangaré,Ibrahim Sangare,100.0,name-strict,Ibrahim Sangare,"['DM', 'MC']","[0.6666666666666666, 0.3333333333333333]",1
Ryan_Yates,Yates,Ryan Yates,100.0,name-strict,Ryan Yates,['MC'],[1.0],1
Chris_Wood,Wood,Chris Wood,100.0,name-strict,Chris Wood,['FW'],[1.0],1
Igor_Jesus Maciel da Cruz,Igor Jesus,Igor Jesus,90.0,name-relaxed,Igor Jesus,"['FW', 'AMC']","[0.8888888888888888, 0.1111111111111111]",1
Taiwo_Awoniyi,Awoniyi,Taiwo Awoniyi,100.0,name-strict,Taiwo Awoniyi,['FW'],[1.0],1
Arnaud_Kalimuendo,Kalimuendo,Arnaud Kalimuendo Muinga,95.0,name-strict,Arnaud Kalimuendo Muinga,['SUB'],[1.0],1
Jan_Paul van Hecke,Van Hecke,Jan Paul van Hecke,100.0,name-strict,Jan Paul van Hecke,['CB'],[1.0],1
Sandro_Tonali,Tonali,Sandro Tonali,100.0,name-strict,Sandro Tonali,"['DM', 'MC']","[0.5555555555555556, 0.4444444444444444]",1
Guglielmo_Vicario,Vicario,Guglielmo Vicario,100.0,name-strict,Guglielmo Vicario,['GK'],[1.0],1
Brandon_Austin,Austin,Brandon Austin,100.0,name-strict,Brandon Austin,['GK'],[1.0],1
Antonín_Kinský,Kinsky,Antonín Kinsky,100.0,name-strict,Antonín Kinsky,['GK'],[1.0],1
Martin_Dubravka,Dubravka,Martin Dubravka,100.0,name-strict,Martin Dubravka,['GK'],[1.0],1
Marcos_Senesi,Senesi,Marcos Senesi,100.0,name-strict,Marcos Senesi,['CB'],[1.0],1
Pedro_Porro,Pedro Porro,Pedro Porro,100.0,name-strict,Pedro Porro,"['DR', 'RW', 'CB']","[0.8, 0.1, 0.1]",1
Cristian_Romero,Romero,Cristian Romero,100.0,name-strict,Cristian Romero,['CB'],[1.0],1
Kevin_Danso,Danso,Kevin Danso,100.0,name-strict,Kevin Danso,['CB'],[1.0],1
Andrew_Robertson,Robertson,Andrew Robertson,100.0,name-strict,Andrew Robertson,['DL'],[1.0],1
Micky_van de Ven,Van de Ven,Micky van de Ven,100.0,name-strict,Micky van de Ven,"['CB', 'DL']","[0.9, 0.1]",1
Djed_Spence,Spence,Djed Spence,100.0,name-strict,Djed Spence,"['DL', 'RW', 'DR']","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666]",1
Destiny_Udogie,Udogie,Iyenoma Destiny Udogie,90.0,name-relaxed,Iyenoma Destiny Udogie,['DL'],[1.0],1
Ashley_Phillips,Phillips,Nathaniel Phillips,90.0,web_name-relaxed,Nathaniel Phillips,['CB'],[1.0],1
Ben_Davies,Davies,Ben Davies,100.0,name-strict,Ben Davies,"['CB', 'DL']","[0.7142857142857143, 0.2857142857142857]",1
Jun'ai_Byfield,Byfield,Jun&#039;ai Byfield,95.0,name-strict,Jun&#039;ai Byfield,['SUB'],[1.0],1
James_Rowswell,Rowswell,James Rowswell,100.0,name-strict,James Rowswell,['SUB'],[1.0],1
João_Victor de Souza Menezes,Souza,Souza,90.0,name-relaxed,Souza,"['RW', 'DL']","[0.5, 0.5]",1
Mohammed_Kudus,Kudus,Mohammed Kudus,100.0,name-strict,Mohammed Kudus,"['RW', 'AMC']","[0.7, 0.3]",1
Xavi_Simons,Xavi,Xavi Simons,100.0,name-strict,Xavi Simons,"['LW', 'FW']","[0.8333333333333334, 0.16666666666666666]",1
Mathys_Tel,Tel,Mathys Tel,100.0,name-strict,Mathys Tel,"['LW', 'AMC']","[0.8571428571428571, 0.14285714285714285]",1
James_Maddison,Maddison,James Maddison,100.0,name-strict,James Maddison,['AMC'],[1.0],1
Rodrigo_Bentancur,Bentancur,Rodrigo Bentancur,100.0,name-strict,Rodrigo Bentancur,"['DM', 'MC']","[0.8, 0.2]",1
Wilson_Odobert,Odobert,Wilson Odobert,100.0,name-strict,Wilson Odobert,"['RW', 'AMC', 'LW']","[0.5, 0.3333333333333333, 0.16666666666666666]",1
Pape_Matar Sarr,P.M.Sarr,Unknown for understat,,no-match,,['MC'],[1.0],1
Conor_Gallagher,Gallagher,Conor Gallagher,100.0,name-strict,Conor Gallagher,"['AMC', 'MC', 'DM', 'RW']","[0.625, 0.125, 0.125, 0.125]",1
Lucas_Bergvall,Bergvall,Lucas Bergvall,100.0,name-strict,Lucas Bergvall,"['AMC', 'RW']","[0.6666666666666666, 0.3333333333333333]",1
Dejan_Kulusevski,Kulusevski,Dejan Kulusevski,100.0,name-strict,Dejan Kulusevski,"['MC', 'RW', 'FW', 'AMC']","[0.42857142857142855, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285]",1
Archie_Gray,Gray,Archie Gray,100.0,name-strict,Archie Gray,"['DR', 'MC', 'DM', 'DL']","[0.5, 0.25, 0.125, 0.125]",1
Mikey_Moore,Moore,Mikey Moore,100.0,name-strict,Mikey Moore,"['RW', 'LW']","[0.6666666666666666, 0.3333333333333333]",1
Callum_Olusesi,Olusesi,Callum Olusesi,100.0,name-strict,Callum Olusesi,['SUB'],[1.0],1
Mateus_Fernandes,Fernandes,Mateus Fernandes,100.0,name-strict,Mateus Fernandes,"['MC', 'DM']","[0.9, 0.1]",1
Dominic_Solanke-Mitchell,Solanke,Dominic Solanke,90.0,name-relaxed,Dominic Solanke,['FW'],[1.0],1
Richarlison_de Andrade,Richarlison,Richarlison,90.0,name-relaxed,Richarlison,"['FW', 'LW']","[0.8571428571428571, 0.14285714285714285]",1
Dane_Scarlett,Scarlett,Dane Scarlett,100.0,name-strict,Dane Scarlett,['SUB'],[1.0],1
Robin_Roefs,Roefs,Robin Roefs,100.0,name-strict,Robin Roefs,['GK'],[1.0],1
Anthony_Patterson,Patterson,Nathan Patterson,90.0,web_name-relaxed,Nathan Patterson,"['DR', 'DL']","[0.8333333333333334, 0.16666666666666666]",1
Melker_Ellborg,Ellborg,Melker Ellborg,100.0,name-strict,Melker Ellborg,['GK'],[1.0],1
Daniel_Ballard,Ballard,Dominic Ballard,90.0,web_name-relaxed,Dominic Ballard,['CB'],[1.0],1
Nordi_Mukiele,Mukiele,Nordi Mukiele,100.0,name-strict,Nordi Mukiele,"['DR', 'CB']","[0.7, 0.3]",1
Trai_Hume,Hume,Trai Hume,100.0,name-strict,Trai Hume,"['RW', 'DL']","[0.5, 0.5]",1
Omar_Alderete,Alderete,Omar Alderete,100.0,name-strict,Omar Alderete,['CB'],[1.0],1
